,Answer,Type,,Size,Questions,Flags
"Despite the ________ the belligerent man displayed in public, he was secretly terrified that his insecurities might one day be discovered.
 
 A. hauteur
 B. timidity
 C. aggression
 D. mendacity
 E. magnanimousness",A,One Blank,,,,5
"One of the major concerns as states pulled themselves out of the deficits created during the Great Recession was whether they would return to their ________ spending habits once the good times began to roll again.
 
 A. decadent
 B. profligate
 C. parsimonious
 D. immoral
 E. licentious",B,One Blank,,,,5
"A ________ weekend in the country is precisely what is required after a week as arduous as this one has been.
 
 A. strenuous
 B. picturesque
 C. palliative
 D. reminiscent
 E. parsimonious",C,One Blank,,,,5
"After the séance ended, the participants were of two minds as to whether the psychic had ________ a spirit, but everyone had felt the presence of something new in the room.
 
 (A) convoked
 (B) evoked
 (C) elicited
 (D) excogitated
 (E) coalesced",B,One Blank,,,,5
"Americans who were the first to fight fascism in Spain during the Spanish Civil War were not allowed to join the US Army later, as their initiative led to the American government labeling them “_________ anti-fascists,” and thus undesirable.
 
 (A) violent
 (B) erroneous
 (C) premature
 (D) prescient
 (E) communist",C,One Blank,,,,5
"Although there is much talk about the value of entrepreneurship, less is said about intrapreneurship, or entrepreneurial activity within an existing business. The creation of the iPhone
  is an example of intrapreneurship. The innovative spirit within Apple has produced a number of such ________ products.
 
 A. similar
 B. exceptional
 C. innovative
 D. excellent
 E. breakthrough",E,One Blank,,,,5
"Able to coax a palpable sense of menace from the bucolic backwaters of her native Missouri, Micheaux adroitly shows us, in her latest book, that a surface of idyllic charm can (i) ______ a roiling underbelly of intrigue, corruption, and murder.
 
 (A) subsume
 (B) belie
 (C) counteracte
 (D) preface
 (E) complement",B,One Blank,,,,5
"My dog Candy's lethargic behavior was initially ________ , but it made sense after I took her to the veterinarian and learned that Candy is pregnant.
 
 A. unambiguous
 B. ineluctable
 C. circumspect
 D. cantankerous
 E. inexplicable",E,One Blank,,,,5
"Social networking is a marketing tool that many companies are harnessing to sell their products; however, it must be used ________ because the hard sell risks offending potential customers.
 
 A. with ease
 B. actively
 C. judiciously
 D. expeditiously
 E. efficiently",C,One Blank,,,,5
"Although New York exhilarated him, even at first Leger’s reaction to it was not _____: he was initially bothered by its stunning verticality.
 
 A. unspontaneous
 B. unintentional
 C. unqualified
 D. unhopeful
 E. uninterested",C,One Blank,,,,5
"Though humanitarian emergencies are frequent features of television news, such exposure seldom _____ the public, which rather seems resigned to a sense of impotence.
 
 A. paralyzes
 B. demoralizes
 C. assuages
 D. galvanized
 E. exasperates",D,One Blank,,,,5
"Russian author Leo Tolstoy wrote War and Peace from an ________ point of view because he wanted to convey what each of his characters was thinking and feeling.
 
 A. accomplished
 B. enormous
 C. ensemble
 D. omniscient
 E. acrimonious",D,One Blank,,,,5
"People expect that their elected officials will not be (i)__________ representatives; it is considered common knowledge that politicians always have their own bent.
 A. rationale
 B. competent
 C. flexible
 D. disinterested
 E. caring",D,One Blank,,,,5
"While the distinction of being cold-blooded may conjure images of creatures with constant lowtemperature blood, it actually describes animals that are incapable of ________ their internal temperatures.
 
 A. comprehending
 B. defusing
 C. limiting
 D. regulating
 E. prescribing",D,One Blank,,,,5
"That the psychopharmacological journal had already published the findings of the clinician’s experiment rendered (i) _______ any prior misgivings she’d had regarding the validity of her control group.
 
 (A) extant
 (B) moot
 (C) fallacious
 (D) topical
 (E) retroactive",B,One Blank,,,,5
"The ancient tablet presents a true _________: none have been able to decode it.
 
 (A) gem
 (B) stanza
 (C) quagmire
 (D) enigma
 (E) incentive",D,One Blank,,,,5
"The independent audit showed that the company was not ________, let alone flourishing, as its initial report to its stockholders tried to aver.
 
 A. copious
 B. evasive
 C. thriving
 D. unprecedented
 E. solvent",E,One Blank,,,,5
"Even though they have the power to create any outlandish situations they can imagine, fantasy writers often set themselves very strict rules and guidelines for what is possible in their stories. Without doing so, their work will lack any ________ of reality and be nearly impossible for readers to accept.
 
 A. participation
 B. moral
 C. implement
 D. hierarchy
 E. semblance",E,One Blank,,,,5
"The cockpit recording from the downed airliner was initially (i) _______ ​, but after careful analysis, experts were able to determine much of what the pilots had been shouting. ​
 
 A. disturbing
 B. streamlined
 C. coherent
 D. unintelligible
 E. esoteric",D,One Blank,,,,5
"Veteran technical support staff members feel that their services are ________ ​ by the use of computer programs to do the same work; they claim that technical support can’t be provided procedurally but rather is a case-by-case effort that requires a skill set built upon training and experience.
 
 A. devalued
 B. tarnished
 C. ridiculed
 D. vituperated
 E. impaired",A,One Blank,,,,5
"Sam was _______ about studying for the exam because doing so ate up a lot of his time, yet he was able to improve his analytical skills.
 A. antic
 B. tenacious
 C. grandiloquent
 D. leery
 E. ambivalent",E,One Blank,,,,5
"Artist Marilyn Dingle’s intricate, coiled baskets are ______ sweetgrass and palmetto palm. Following a Gullah technique that
originated in West Africa, Dingle skillfully winds a thin palm frond around a bunch of sweetgrass with the help of a “sewing
bone” to create the basket’s signature look that no factory can reproduce.
Which choice completes the text with the most logical and precise word or phrase?
A. indicated by
B. handmade from
C. represented by
D. collected with",B,Words in Context,,,,4
"The invention in 1958 of the integrated circuit (or microchip) radically altered the semiconductor industry. In fact, some
historians argue that it fundamentally ______ the industry by enabling it to take advantage of mass production methods for
the ﬁrst time.
Which choice completes the text with the most logical and precise word or phrase?
A. overwhelmed
B. bypassed
C. obstructed
D. transformed",D,Words in Context,,,,4
"Botanist Al Kovaleski has pointed out that maple trees already thrive in a wide variety of climates and thus may ______
changes in climate better than some other tree species do. The alterations maples may undergo in response to a changing
climate are likely to be relatively small and easily achieved.
Which choice completes the text with the most logical and precise word or phrase?
A. relocate from
B. refer to
C. originate from
D. adapt to",D,Words in Context,,,,4
"The following text is adapted from Nathaniel Hawthorne’s 1837 story “Dr. Heidegger’s Experiment.” The main character, a
physician, is experimenting with rehydrating a dried ﬂower.
At ﬁrst [the rose] lay lightly on the surface of the ﬂuid, appearing to imbibe none of its moisture. Soon, however, a
singular change began to be visible. The crushed and dried petals stirred and assumed a deepening tinge of crimson,
as if the ﬂower were reviving from a deathlike slumber.
As used in the text, what does the phrase “a singular” most nearly mean?
A. A lonely
B. A disagreeable
C. An acceptable
D. An extraordinary",D,Words in Context,,,,4
"Rejecting the premise that the literary magazine Ebony and Topaz (1927) should present a uniﬁed vision of Black American
identity, editor Charles S. Johnson fostered his contributors’ diverse perspectives by promoting their authorial autonomy.
Johnson’s self-effacement diverged from the editorial stances of W.E.B. Du Bois and Alain Locke, whose decisions for their
publications were more ______.
Which choice completes the text with the most logical and precise word or phrase?
A. proﬁcient
B. dogmatic
C. ambiguous
D. unpretentious",B,Words in Context,,,,4
"According to a team of neuroeconomists from the University of Zurich, ease of decision making may be linked to
communication between two brain regions, the prefrontal cortex and the parietal cortex. Individuals tend to be more decisive
if the information ﬂow between the regions is intensiﬁed, whereas they make choices more slowly when information ﬂow is
______.
Which choice completes the text with the most logical and precise word or phrase?
A. reduced
B. evaluated
C. determined
D. acquired",A,Words in Context,,,,4
"Some economic historians ______ that late nineteenth- and early twentieth-century households in the United States
experienced an economy of scale when it came to food purchases—they assumed that large households spent less on food
per person than did small households. Economist Trevon Logan showed, however, that a close look at the available data
disproves this supposition.
Which choice completes the text with the most logical and precise word or phrase?
A. surmised
B. contrived
C. questioned
D. regretted",A,Words in Context,,,,4
"The following text is from Bram Stoker’s 1897 novel Dracula. The narrator is being driven in a carriage through a remote
region at night.
The baying of the wolves sounded nearer and nearer, as though they were closing round on us from every side. I grew
dreadfully afraid, and the horses shared my fear. The driver, however, was not in the least disturbed; he kept turning his
head to left and right, but I could not see anything through the darkness.
As used in the text, what does the word “disturbed” most nearly mean?
A. Disorganized
B. Alarmed
C. Offended
D. Interrupted",B,Words in Context,,,,4
